date,text,compound,positive,negative,neutral,source,sentiment
2021-06-01 11:24:22+00:00,"The WSJ has published its annual ranking of CEO pay and compensation packages for S&amp;P 500 companies, and Apple’s Tim Cook only takes 171st place despite AAPL sitting at the top of the index by co… [+3351 chars]",0.1027,0.046,0.036,0.918,Benzinga,1
2021-06-14 13:37:11+00:00,This story originally appeared on StockNewsApple Inc. (AAPL) stock has been trading in a rectangle trading range over the past several weeks forming a resistance line and level of support. At some po… [+2982 chars],0.4019,0.078,0.0,0.922,Business Insider,1
2021-06-14 14:24:29+00:00,"This story originally appeared on StockNewsEven though the tech sector is volatile due to investors' sector rotation and concerns over rising inflation, many tech stocks are well positioned to gain f… [+7225 chars]",0.6705,0.151,0.0,0.849,Macworld UK,1
2021-06-14 18:20:46+00:00,"As the pandemic begins to wind down on account of sufficient vaccinations, many retailers and chains are easing up on restrictions across the country.
Since restrictions were originally put into pla… [+2039 chars]",0.25,0.059,0.0,0.941,Stockmarket.com,1
2021-06-14 20:05:55+00:00,"Facebook CEO Mark Zuckerberg.
Photo by Drew Angerer/Getty Images
Investors should hold off on diving back into shares of large technology companies as the industry faces regulatory challenges and w… [+2813 chars]",0.4215,0.142,0.0,0.858,9to5Mac,1
2021-06-24 21:58:07+00:00,"(CNN Business)A powerful House panel on Thursday approved a sweeping set of proposals aimed at weakening Big Tech. It passed a series of measures imposing new obligations on top digital platforms, pr… [+6196 chars]",0.5719,0.194,0.097,0.709,Entrepreneur,1
2021-06-29 12:28:32+00:00,"AAPL investors have been told that while share prices are likely to climb higher this year, they should be prepared for volatility … 
PED30 reports the note from fund manager Daniel Egger.
Stocks h… [+2079 chars]",0.4767,0.111,0.0,0.889,9to5Mac,1
2021-06-30 14:55:00+00:00,"This story originally appeared on InvestorPlaceInvestorPlace - Stock Market News, Stock Advice &amp; Trading Tips
When looking for stocks to buy, why not take some notes from politicians on Capitol … [+9916 chars]",0.0,0.0,0.0,1.0,9to5Mac,0
2021-07-01 15:53:35+00:00,"This story originally appeared on StockNews
Consumers demand for advanced technology to improve their daily lives is fueling the growth of the consumer electronics industry. While a global semicondu… [+9551 chars]",0.7184,0.214,0.043,0.743,Business Insider,1
2021-07-08 12:44:15+00:00,"Warren Buffett’s AAPL mistake cost Berkshire Hathaway up to $18B, after the billionaire investor earlier admitted that selling some of the conglomerate’s holdings at the end of last year was “probabl… [+2056 chars]",-0.25,0.04,0.069,0.891,Business Insider,0
2021-07-11 19:40:24+00:00,"In this weeks top stories: MacBook Pro rumors and expectations, Warren Buffett’s $18 billion AAPL mistake, Apple’s efforts to expand outside of Silicon Valley, and much more. Read on for all of this … [+3217 chars]",0.1779,0.106,0.062,0.831,StockNews.com,1
2021-07-14 11:46:33+00:00,"This month has seen a streak of AAPL record-high values, the stock hitting three all-time-high closing prices so far, and looking set for a fourth when trading opens this morning.
At the time of wri… [+1786 chars]",0.4019,0.074,0.0,0.926,9to5Mac,1
2021-07-15 12:48:41+00:00,"Morgan Stanley and JP Morgan have both raised their price targets for AAPL, citing both continued strong sales of the iPhone 12 and expected high demand for the iPhone 13 among other factors.
Morgan… [+2060 chars]",0.6523,0.145,0.037,0.818,9to5Mac,1
2021-07-16 13:10:32+00:00,"This story originally appeared on StockNews
Stock trading app Robinhood appears to be headed for an IPO based on a recent SEC filing. The company is doing well by attracting more investors to its pl… [+7441 chars]",0.6369,0.133,0.0,0.867,Business Insider,1
2021-07-20 11:19:17+00:00,"It’s less than a week since a succession of record highs saw Apple stock close in at $150, but investors have seen AAPL slide to $142.45 in the past few days.
AAPL hit $149.76 on July 15 before star… [+2784 chars]",0.1027,0.036,0.0,0.964,Business Insider,1
2021-07-26 14:37:17+00:00,"Ahead of tomorrow’s AAPL Q3 2021 earnings report, analysts are expecting good news. The Wall Street consensus is that the Cupertino company will report fiscal Q3/calendar Q2 revenue of $72.93B up fro… [+2910 chars]",0.4404,0.081,0.0,0.919,Baystreet.ca,1
2021-07-27 14:19:10+00:00,"An analyst has suggested that antitrust issues are the single biggest threat to AAPL, and that company execs should outline plans to address the matter during today’s earnings call.
We’re expecting … [+2403 chars]",-0.5106,0.031,0.096,0.873,9to5Mac,0
2021-07-27 20:34:00+00:00,"Apple (AAPL) has officially reported its earnings for fiscal Q3 2021, covering the months of April, May, and June. For the quarter, Apple reported $81.43 billion in revenue, up 36 percent year over y… [+2460 chars]",0.0,0.0,0.0,1.0,9to5Mac,0
2021-07-27 20:34:26+00:00,Information on these pages contains forward-looking statements that involve risks and uncertainties. Markets and instruments profiled on this page are for informational purposes only and should not i… [+1689 chars],-0.5423,0.0,0.138,0.862,Business Insider,0
2021-07-28 11:21:26+00:00,"Yesterday saw record AAPL Q3 earnings, dramatically beating analyst expectations, and Jason Snell has once again turned all the key numbers into beautifully easy-to-digest color charts.
Heading up t… [+1787 chars]",0.1779,0.104,0.084,0.812,Benzinga,1
2021-07-28 13:12:42+00:00,"Listen to a recap of the top stories of the day from 9to5Mac. 9to5Mac Daily is available on iTunes and Apples Podcasts app, Stitcher, TuneIn, Google Play, or through our dedicated RSS feed for Overca… [+685 chars]",0.7351,0.179,0.0,0.821,AppleInsider,1
